name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lakes District, England, United Kingdom",2023-11-29,2.6,-0.9,0.7,-0.1,-4.3,-2.5,-0.5,92.5,0,0,0,,0,0,29.9,18.8,292.7,1004.6,46.8,17.9,34,2.9,2,10,2023-11-29T07:39:18,2023-11-29T15:47:07,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGUW,AU022,EGSH,EGUL"
"Lakes District, England, United Kingdom",2023-11-30,4.2,-1.7,0.6,1.4,-4.6,-2.1,-0.8,90.4,0,14.3,0,snow,0,0,20.2,11.9,357.6,1004,38.2,24.1,47.3,4.1,2,10,2023-11-30T07:40:47,2023-11-30T15:46:21,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-01,4.2,-0.3,1.1,1.2,-3.7,-2,-1,86.2,0,42.9,0,rain,0,0,25.9,13.7,350.4,1005.8,18.2,24,44.7,3.9,2,10,2023-12-01T07:42:16,2023-12-01T15:45:38,0.63,Clear,Clear conditions throughout the day.,clear-day,
"Lakes District, England, United Kingdom",2023-12-02,3.5,-1,0.6,-0.4,-4.3,-3,-0.8,90.2,0,42.9,0,,0,0,29.5,16.9,301.4,1012.8,40.6,24.1,42.7,3.7,2,10,2023-12-02T07:43:42,2023-12-02T15:44:58,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-03,4.2,-1.1,0.9,1.1,-3.4,-1.7,-0.9,88,2.3,14.3,12.5,rain,0,0,21.6,12.6,212,1013.3,47.7,24.1,44.1,3.8,2,10,2023-12-03T07:45:06,2023-12-03T15:44:22,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-04,3.3,-0.3,1.1,0.7,-3.2,-1.7,-0.9,86.5,0,19,0,,0,0,14.4,10.8,302,1018,29.8,24.1,44.4,4.2,2,10,2023-12-04T07:46:28,2023-12-04T15:43:49,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-05,3.1,0.3,1.5,0.8,-3.2,-1.2,-0.8,84.6,0,19,0,,0,0,25.1,11.8,258.7,1022.7,65.8,24.1,40.4,3.8,2,10,2023-12-05T07:47:48,2023-12-05T15:43:19,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-06,6.1,0.8,3.9,1,-2.9,-0.9,0.4,77.9,2,19,8.33,rain,0,0,73.9,36.4,184.1,1018.5,99.8,24.1,4.4,0.6,0,10,2023-12-06T07:49:05,2023-12-06T15:42:52,0.79,Overcast,Cloudy skies throughout the day.,cloudy,
"Lakes District, England, United Kingdom",2023-12-07,9.8,6.3,7.9,6.6,1.2,4,5.9,87,4.7,23.8,16.67,rain,0,0,77.8,40,199.1,1009.8,85.8,22.6,37.1,3,2,10,2023-12-07T07:50:20,2023-12-07T15:42:29,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-08,11.6,6.6,9.5,11.6,2.7,8,7.1,84.9,5.2,38.1,16.67,rain,0,0,78.5,41.8,209.1,997.3,80.6,22.1,12.6,1.2,0,10,2023-12-08T07:51:33,2023-12-08T15:42:10,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-09,9.2,6.3,7.9,5.4,2.1,4.1,5.6,85.8,0.9,38.1,4.17,rain,0,0,70.1,37.1,220.6,999.4,73.5,21.8,21.3,1.8,1,10,2023-12-09T07:52:43,2023-12-09T15:41:54,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-10,13.4,7.7,10.9,13.4,2.8,9.4,7,77.2,7.1,38.1,16.67,rain,0,0,77.2,41.8,229.1,991.8,85.6,22.7,26.3,2.1,1,10,2023-12-10T07:53:51,2023-12-10T15:41:41,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lakes District, England, United Kingdom",2023-12-11,10.1,7.4,9,10.1,2.1,5,4.6,73.9,0.2,57.1,8.33,rain,0,0,82.4,45.7,247.6,998.5,71.3,24.1,10,0.6,0,10,2023-12-11T07:54:56,2023-12-11T15:41:32,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Lakes District, England, United Kingdom",2023-12-12,11.3,7.7,9.9,11.3,3.5,8.1,7.4,84.1,1.5,57.1,16.67,rain,0,0,70.6,38.5,243,1018.9,94.8,23.6,7.3,0.6,0,10,2023-12-12T07:55:58,2023-12-12T15:41:26,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
"Lakes District, England, United Kingdom",2023-12-13,12,10.2,11.2,12,10.2,11.2,7.8,79.6,0.3,57.1,8.33,rain,0,0,61.6,31.7,230,1023.6,99.6,24.1,29.5,2.7,1,10,2023-12-13T07:56:57,2023-12-13T15:41:24,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
