name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Birmingham,2023-11-29,3.8,-0.5,1.4,3.3,-0.5,1,-0.5,87.3,0,4.8,0,rain,0,0,12.6,9.2,351.6,1005.7,41.7,18.8,42.3,3.5,2,10,2023-11-29T07:52:10,2023-11-29T15:59:11,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGBB,EGOS,EGNX,AU757"
Birmingham,2023-11-30,1.7,-1.6,-0.2,-0.6,-4.2,-2.6,-1.8,89.4,0,4.8,0,,0,0,27,11.2,23.6,1005.6,37.6,24.1,47.6,4.1,2,10,2023-11-30T07:53:40,2023-11-30T15:58:25,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-01,2.1,-1.6,0.1,-0.6,-4.2,-2.4,-1.9,86.1,0,0,0,,0,0,23.4,9.4,349.6,1009.3,35.5,24.1,43.2,3.8,2,10,2023-12-01T07:55:09,2023-12-01T15:57:42,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-02,1.7,-1.2,-0.2,1.7,-3.5,-1.8,-2.7,83.4,0,4.8,0,,0,0,15.1,6.8,248.4,1014.4,26.9,24.1,31.4,2.8,2,10,2023-12-02T07:56:35,2023-12-02T15:57:02,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Birmingham,2023-12-03,2.6,-0.3,1,1.3,-2.4,-0.5,-0.4,90.1,1.1,9.5,12.5,"rain,snow",0.1,0,18,7.6,209.9,1012.2,45,24.1,39.1,3.4,2,10,2023-12-03T07:57:59,2023-12-03T15:56:25,0.7,Partially cloudy,Clearing in the afternoon.,snow,
Birmingham,2023-12-04,2.2,-0.6,0.2,2.2,-0.6,0.2,-2.8,80.9,0,9.5,0,,0,0,5.8,4.7,71.6,1018.8,30.9,24.1,45.6,3.8,2,10,2023-12-04T07:59:22,2023-12-04T15:55:52,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-05,1.8,-1.1,0.2,-0.2,-3.2,-2.1,-4.3,72,0,19,0,,0,0,51.2,17.2,173.6,1022.2,62.9,24.1,42.8,3.8,2,10,2023-12-05T08:00:42,2023-12-05T15:55:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-06,9.9,2.3,5.8,6.1,-2.3,1.4,4.3,90.5,4.6,28.6,20.83,rain,0,0,77.2,37.6,174,1012.5,100,16.2,3.9,0.6,0,10,2023-12-06T08:01:59,2023-12-06T15:54:55,0.79,Overcast,Cloudy skies throughout the day.,cloudy,
Birmingham,2023-12-07,10.3,7.1,8.5,10.3,3.2,5.3,6,84.4,3.6,28.6,12.5,rain,0,0,77.8,37.8,204.9,1005.9,74,23.1,38,3,1,10,2023-12-07T08:03:15,2023-12-07T15:54:32,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-08,10,5.9,8.2,6.1,2.1,4.7,5.9,85.6,9.5,38.1,25,rain,0,0,73.8,36.7,213.9,994.4,62.9,21.4,34,2.7,1,10,2023-12-08T08:04:28,2023-12-08T15:54:12,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-09,11.5,6.6,8.5,11.5,2.9,5.3,5.9,83.9,3,33.3,20.83,rain,0,0,74.9,37.2,224,997.2,86.2,21.1,34,3,1,10,2023-12-09T08:05:38,2023-12-09T15:53:56,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Birmingham,2023-12-10,12.6,7.5,9.8,12.6,2.5,7,5.4,74.2,2.3,47.6,16.67,rain,0,0,82.1,44.3,229.3,989.9,95.4,23.6,26.5,2.4,1,10,2023-12-10T08:06:46,2023-12-10T15:53:43,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Birmingham,2023-12-11,10.3,7.7,9,10.3,2.5,5.4,4.9,75.6,0.8,52.4,25,rain,0,0,83.5,46.1,255.3,999,86.4,23.7,12.9,1.4,1,10,2023-12-11T08:07:51,2023-12-11T15:53:34,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Birmingham,2023-12-12,12.3,6.7,10.2,12.3,3,9.4,7.6,83.8,0.6,52.4,16.67,rain,0,0,68.4,33.5,237.9,1018.3,100,24.1,7.9,0.6,0,10,2023-12-12T08:08:53,2023-12-12T15:53:28,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Birmingham,2023-12-13,11.8,10.2,10.9,11.8,10.2,10.9,7.6,79.7,0.1,38.1,4.17,rain,0,0,58.3,29.5,222,1022,100,24.1,24.5,2.1,1,10,2023-12-13T08:09:52,2023-12-13T15:53:26,0.02,Overcast,Cloudy skies throughout the day.,cloudy,
Cambridge,2023-11-29,2.6,-1.4,0.6,1.3,-4.3,-0.9,-0.9,89.7,0.1,100,4.17,rain,0,0,20.2,12.7,301.7,1005.3,29.6,18.7,39.7,3.3,2,10,2023-11-29T07:42:50,2023-11-29T15:52:22,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"EGSS,EGGW,EGSC,C7079,EGUL,EGUN"
Cambridge,2023-11-30,3.7,-1.5,0.3,0.9,-3.7,-1.8,-0.5,94.3,0,14.3,0,,0,0,21.2,10.8,7.7,1004.5,54.8,24.1,48.6,4.4,2,10,2023-11-30T07:44:19,2023-11-30T15:51:37,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Cambridge,2023-12-01,3.3,-1.1,0.6,-0.5,-4,-2.4,-0.6,91.7,0,14.3,0,rain,0,0,28.1,15.5,343.8,1006.9,46.6,24.1,47.3,4.1,2,10,2023-12-01T07:45:47,2023-12-01T15:50:55,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
